Model,Temperature,Parameters,Model_Size_MB,GFLOPs,Avg_Inference_Time_ms,Inference_Time_Std_ms,Memory_Usage_MB,Accuracy_%
Student_T1.0,1.0,107279,0.4124889373779297,0.11258928,7.934818267822266,1.4729559544602429,349.186953125,100.0
Student_T2.0,2.0,107279,0.4124889373779297,0.11258928,8.762726783752441,1.151306602605911,349.2863671875,100.0
Student_T3.0,3.0,107279,0.4124889373779297,0.11258928,8.622314929962158,0.7633995322180248,349.296875,100.0
Student_T4.0,4.0,107279,0.4124889373779297,0.11258928,8.322041034698486,0.972383032836608,349.3068359375,100.0
