Model,Parameters,Model_Size_MB,GFLOPs,Avg_Inference_Time_ms,Inference_Time_Std_ms,Memory_Usage_MB,Accuracy_%
Basic,426767,1.6311779022216797,0.424739776,40.89500665664673,32.76362831317469,369.979375,100.0
Pruned,426767,1.6311779022216797,0.424739776,31.73351287841797,10.590686887102752,370.167890625,100.0
KD_Student,107279,0.4124889373779297,0.11258928,14.89060640335083,3.93287514645015,370.4140625,100.0
Filter_Pruned,208655,0.8211803436279297,0.112690592,12.973220348358154,2.419742498796969,370.478671875,100.0
Quantized,426767,1.6311779022216797,0.424739776,26.130523681640625,4.498392077081505,370.54296875,100.0
